country_code,country_name,gdp,population,gdp_per_capita,gold,silver,bronze,total,gdp_per_medal,gdp_per_capita_per_medal
CUB,Cuba,1,11194449,0,2,1,3,6,0,0
CHI,Channel Islands,1,175346,0,1,1,0,2,0,0
PRK,"Korea, Dem. People's Rep. (See Note 1.)",1,26160821,0,0,2,4,6,0,0
EOR,Refugee Olympic Team (see note 3),1,1,1,0,0,1,1,1,1
DMA,Dominica,653992592,73040,8953,1,0,0,1,653992592,8953
GRN,Grenada,1320334235,126183,10463,0,0,2,2,660167117,5231
LCA,St. Lucia,2519925938,180251,13980,1,1,0,2,1259962969,6990
CPV,Cabo Verde,2587252076,598682,4321,0,0,1,1,2587252076,4321
JAM,Jamaica,19423355367,2825544,6874,1,3,2,6,3237225894,1145
KGZ,Kyrgyz Republic,13987627908,7100800,1969,0,1,3,4,3496906977,492
TJK,Tajikistan,12060602008,10143543,1188,0,0,3,3,4020200669,396
KOS,Kosovo,10438351483,1756374,5943,0,1,1,2,5219175741,2971
FIJ,Fiji,5494797540,936375,5868,0,1,0,1,5494797540,5868
MDA,Moldova,16539436547,2486891,6650,0,0,3,3,5513145515,2216
GEO,Georgia,30535530479,3760365,8120,1,2,1,4,7633882619,2030
ARM,Armenia,24212134631,2777970,8715,0,2,1,3,8070711543,2905
CRO,Croatia,82688842717,3853200,21459,2,1,3,6,13781473786,3576
BRN,Brunei Darussalam,15128292953,452524,33430,1,0,0,1,15128292953,33430
HUN,Hungary,212388906458,9589872,22147,4,5,5,14,15170636175,1581
UKR,Ukraine,178757021386,37000000,4831,3,4,4,11,16250638307,439
AZE,Azerbaijan,72356176470,10112555,7155,2,1,1,4,18089044117,1788
NZL,New Zealand,253465703232,5223100,48527,6,6,2,14,18104693088,3466
UZB,Uzbekistan,90889149306,36412350,2496,3,0,2,5,18177829861,499
BOT,Botswana,19395765126,2675352,7249,1,0,0,1,19395765126,7249
MGL,Mongolia,19872180369,3447157,5764,0,1,0,1,19872180369,5764
KEN,Kenya,107440575838,55100586,1949,1,1,3,5,21488115167,389
TUN,Tunisia,48529595416,12458223,3895,0,1,1,2,24264797708,1947
UGA,Uganda,49272882213,48582334,1014,1,1,0,2,24636441106,507
BUL,Bulgaria,101584384672,6430370,15797,1,0,3,4,25396096168,3949
